beta,gamma,sigma
17.551512256701855,17.333333332356062,0.19655795869902978
17.56702665721366,17.333333332417734,0.17076322461407206
17.55653196686858,17.333333332359498,0.18677339539741772
17.54396194941443,17.3333333324147,0.2037762939672425
17.578369100245755,17.333333332393927,0.15883397190906143
17.558289234235218,17.333333332384147,0.1852937239634383
17.562588956490817,17.333333332316805,0.19007514746621731
17.553022182962284,17.33333333249074,0.1835297893203128
17.56312422469096,17.33333333223443,0.1956465083045263
17.57019586103331,17.333333332412444,0.17246017111117432
17.559570479222742,17.33333333247482,0.18559409573419008
17.561536310256784,17.33333333231326,0.19489631810789906
17.559306188408495,17.33333333236621,0.18742037832984015
17.566626516193452,17.33333333231142,0.18517400414760377
17.55978293425633,17.33333333240617,0.18186681908037053
17.557218233234376,17.33333333233771,0.1841217504172308
17.551608034833524,17.33333333241493,0.1901649907031344
17.556474643369103,17.33333333237071,0.1923211054557632
17.55438989328707,17.333333332356975,0.18994983887170183
17.558003973705098,17.333333332437554,0.18104970136033283
17.55546586682598,17.333333332503635,0.18571984396696173
17.567884655551453,17.333333332468158,0.16559261856231483
17.568366643208595,17.333333332461816,0.17373317716470785
17.562356184391707,17.33333333235933,0.17950125586280327
17.569030739300032,17.333333332553593,0.16487464856386153
17.551964417255512,17.33333333236313,0.18611862485063804
17.54927625415675,17.333333332428154,0.1907398933738862
17.553511737110252,17.333333332425138,0.19219707657221438
17.562959590314197,17.333333332377027,0.17576283362175005
17.558952831538477,17.333333332376235,0.1913127124887117
17.57055958282006,17.333333332294043,0.18495750814161774
17.559363601697488,17.333333332384875,0.18168402652614923
17.57940891892047,17.33333333243526,0.1612398549402199
17.565659835713724,17.3333333323871,0.17318146255087347
17.556288484725066,17.333333332203246,0.19724846692488082
17.56420336113094,17.333333332392712,0.17448719324670423
17.54060068346187,17.333333332416494,0.19504577605952647
17.566499314963494,17.333333332292405,0.19054250933925013
17.57016588008367,17.33333333237862,0.17736826796727614
17.55270158099434,17.333333332397597,0.19414992970878814
17.556058657513102,17.33333333238501,0.1887948483084674
17.564037251539276,17.333333332485108,0.16803283862121907
17.55703559163381,17.33333333247758,0.18108397367027287
17.562878494651756,17.33333333244531,0.17592162930278457
17.55377593456481,17.333333332315682,0.195220273848068
17.559121330260066,17.33333333231988,0.18885031076412437
17.575660659285806,17.333333332371588,0.16041107472158872
17.549474836468956,17.333333332443,0.18210136268852667
17.55450386202341,17.33333333247133,0.1816138555816284
17.56060365418107,17.33333333240076,0.1822178688586967
17.557623270557205,17.333333332350534,0.18731156777027494
17.565124182368066,17.333333332390637,0.1778651226799942
17.562293408304235,17.333333332363605,0.18315239350031037
17.56093318294391,17.333333332523235,0.1781413848768011
17.557100909231465,17.33333333235278,0.1912313990859951
17.552773620688598,17.333333332359004,0.1955236737982247
17.56439858254374,17.333333332357775,0.18211262552585947
17.554795376770628,17.333333332439327,0.18931966896221136
17.556937429789684,17.33333333232661,0.19327500678611464
17.569778076997498,17.333333332278873,0.18922302581910824
17.57576913529528,17.333333332341393,0.16988205383344546
17.56609002379108,17.333333332411655,0.174500256228999
17.569411584519653,17.333333332357913,0.18008258514631714
17.565188892831394,17.33333333242047,0.18082832112088604
17.557002832877522,17.33333333238197,0.19042627765275458
17.56347303824033,17.3333333324151,0.1751412128212435
17.558643318703286,17.333333332420505,0.18689037328348235
17.557430753975563,17.333333332402596,0.18998721221419893
17.565253551104714,17.33333333241932,0.17672330286474985
17.552065870149058,17.333333332355192,0.19739700654080586
17.56383328233183,17.333333332386925,0.1830087446337459
17.564492274100306,17.333333332356943,0.1731745183054264
17.563578251311487,17.333333332263738,0.1947067615086856
17.55875107583188,17.333333332356244,0.18247548203891092
17.55415426829413,17.333333332383354,0.18546128468780856
17.557538636193254,17.333333332413492,0.1861563791714314
17.568566870245732,17.33333333240689,0.17274099119282785
17.564879663319864,17.333333332263724,0.1839832975224098
17.56255174581429,17.333333332424562,0.173816609599681
17.553169705053712,17.333333332477885,0.18530504247097568
17.559622262764957,17.333333332436364,0.18754883940588948
17.5547885766071,17.333333332439558,0.18274614183840604
17.549268393193124,17.33333333235589,0.19931499169523492
17.544133256054646,17.333333332406934,0.19538261030021367
17.564828245730563,17.33333333233023,0.18752313937072274
17.557384350888277,17.333333332357206,0.18558772951278663
17.562882217756535,17.33333333333333,0.17322879154627527
17.54939958632709,17.333333332421223,0.18786212695638638
17.562984275022497,17.33333333232063,0.18793209443348005
17.551138608669053,17.33333333228852,0.19278400657082545
17.58100400388564,17.333333332362436,0.1681672625755392
17.55088416415315,17.333333332454007,0.19327184641147457
17.559481453497945,17.33333333234842,0.1952243162574424
17.598848950870096,17.33333333248954,0.13206843944435018
17.558602673883634,17.33333333237701,0.1792236761874218
17.55857191848106,17.333333332289726,0.18604869301264806
17.554414429596896,17.333333332397803,0.19217250726085897
17.56030508872453,17.33333333236609,0.18418662847726386
17.5551826234957,17.333333332530703,0.17709966319883644
17.546788517571034,17.33333333237073,0.19818880436382003
17.551271743530833,17.333333332353433,0.18920278894457068
17.56495675308677,17.333333332337848,0.1782416975411525
17.55597382702659,17.333333332445136,0.17950367010902973
17.556244415175215,17.33333333236746,0.1883152241741586
17.553764222168375,17.333333332327946,0.19174061963486147
17.564857841275455,17.333333332373158,0.18545675260762118
17.549915953042316,17.33333333235802,0.20105625654064033
17.57611490869768,17.33333333231677,0.1690455527907776
17.558868093370076,17.333333332392534,0.18646916925818233
17.567416751686277,17.333333332452384,0.17253026627802087
17.5922693690674,17.33333333259609,0.12234112955857009
17.554661209164678,17.33333333241536,0.1938482073548982
17.56109712329084,17.333333332304107,0.19010941480118007
17.563547452031173,17.333333332428396,0.18854021664232706
17.55422018629083,17.33333333240031,0.19265689009525702
17.571940156598284,17.333333332495567,0.1592262987530845
17.56108876615871,17.333333332497155,0.17340505294302766
17.572787946443185,17.3333333323634,0.17918110618686672
17.56049318855604,17.33333333236433,0.1783993793536224
17.561461745712144,17.333333332266097,0.1896866102252355
17.55932828779047,17.33333333238935,0.19010285324605308
17.565015897208408,17.333333332383038,0.18184292795011028
17.56638295818797,17.333333332335325,0.17492609428999673
17.562150564825913,17.33333333241741,0.18770243925220526
17.5526855207462,17.333333332430893,0.18854930375078746
17.551329314898506,17.333333332349653,0.1933293549130606
17.551569392221303,17.333333332422686,0.1830219772931056
17.5667121992319,17.333333332404415,0.18496324014602233
17.56485548569395,17.333333332385354,0.18190014116661288
17.55431460983305,17.333333332469426,0.1835184580140636
17.55808548288027,17.33333333241962,0.1876055533067823
17.57177492683289,17.333333332326177,0.1711139423478945
17.55122889915003,17.33333333239767,0.1946695229844369
17.56386828822306,17.333333332340906,0.18768876209871774
17.55531994226259,17.333333332288994,0.20034216320564363
17.567621609623966,17.333333332413908,0.17995021685645804
17.560263490852087,17.33333333237431,0.1864563641503951
17.556059564112175,17.333333332394552,0.19304607892770373
17.561236347671894,17.333333332406372,0.1763325516905963
17.56624919784983,17.333333332404575,0.1751281437009981
17.5608702351803,17.333333332384864,0.17247973316796988
17.564631820813542,17.333333332454288,0.17664565843752209
17.580817659793244,17.333333332458565,0.15389066321732828
17.556122843402715,17.333333332412252,0.1865966129859304
17.576645725833117,17.333333332406507,0.16522167869412985
17.578197133659717,17.33333333243853,0.15353377623510875
17.560109987909243,17.333333332349522,0.19214480679635404
17.557756667968004,17.333333332281146,0.19331618758060987
17.576283381857348,17.33333333238887,0.16253052217278927
17.558675660100075,17.333333332373037,0.1938058538827224
17.571647438848455,17.33333333247096,0.1762287014068823
17.556959809720844,17.333333332405918,0.18794779800114927
17.558615029783727,17.333333332351668,0.18501827441669927
17.561872749140125,17.333333332321526,0.18513529217991107
17.552692605598832,17.333333332495425,0.18403583919584537
17.559592386360546,17.33333333238543,0.19006013762777046
17.560511785006227,17.33333333239204,0.1766808660762733
