time,mean,low_limit,upper_limit
0.0,9.120000000000003e-5,9.120000000000001e-5,9.120000000000001e-5
0.001,9.121175053157828e-5,9.013587558836654e-5,9.221089560666184e-5
0.002,9.124417581786e-5,8.971221381978867e-5,9.290596571385817e-5
0.003,9.126506318273826e-5,8.948354792912834e-5,9.32801299838697e-5
0.004,9.128984531044215e-5,8.916928854578831e-5,9.364912094073706e-5
0.005,9.13011465022322e-5,8.879091131100446e-5,9.383514354678753e-5
0.006,9.132616019864763e-5,8.876977225064202e-5,9.39637962652324e-5
0.007,9.134258615284125e-5,8.849896453123824e-5,9.43387854725552e-5
0.008,9.135924096401861e-5,8.841966101346243e-5,9.454826534980768e-5
0.009,9.139939616961997e-5,8.821693368635438e-5,9.492414975513825e-5
0.01,9.143086378033622e-5,8.789710023497226e-5,9.493971820298788e-5
0.011,9.142223501769231e-5,8.75905854304783e-5,9.540037756145545e-5
0.012,9.145409588224619e-5,8.747664044148843e-5,9.546789070118367e-5
0.013,9.14413952961567e-5,8.73424364964737e-5,9.56126496928181e-5
0.014,9.14834264409428e-5,8.7140287063975e-5,9.58331823922154e-5
0.015,9.150631148564738e-5,8.681260058712218e-5,9.580341888170763e-5
0.016,9.152523835822884e-5,8.710602461950391e-5,9.603215928589508e-5
0.017,9.152680828969892e-5,8.668059069593753e-5,9.609384968426017e-5
0.018,9.152045309590752e-5,8.694032403262616e-5,9.620771240978685e-5
0.019,9.15237851346728e-5,8.682518561406685e-5,9.644947643274427e-5
0.02,9.154153173835458e-5,8.652631911650153e-5,9.676362261201149e-5
0.021,9.154817212408571e-5,8.66185033594124e-5,9.676345902513212e-5
0.022,9.162455765642259e-5,8.645021589081258e-5,9.73374695986416e-5
0.023,9.16010599124038e-5,8.63017523465012e-5,9.70316364266675e-5
0.024,9.158064146947448e-5,8.638213541354068e-5,9.703041099689148e-5
0.025,9.161269483499437e-5,8.594179991015132e-5,9.718228755595902e-5
0.026,9.167426037434753e-5,8.616782480051764e-5,9.754516971690389e-5
0.027,9.168273983531224e-5,8.58863270358506e-5,9.701330429113064e-5
0.028,9.171105249302466e-5,8.547440650097263e-5,9.72371113622415e-5
0.029,9.176097547155964e-5,8.565782527932521e-5,9.718048574937059e-5
0.03,9.176674525878795e-5,8.559633642414981e-5,9.775902531607424e-5
0.031,9.17597626696115e-5,8.579869585529685e-5,9.769546552034e-5
0.032,9.177496007202342e-5,8.55142129429758e-5,9.799885668903966e-5
0.033,9.181830802160034e-5,8.553799763184179e-5,9.811213717635529e-5
